Title,Release_year,Type,Streaming_platform,IMDB_ratings,Total_reviews,Genre,Runtime/Duration(mins),Age_rating,Production_country,url
Oppenheimer  (2023),2023,movie,Jio Cinema,8.4,676k,"History, Drama",180,UA,"United Kingdom, United States",https://www.justwatch.com/in/movie/oppenheimer
Animal  (2023),2023,movie,Netflix,6.3,84k,"Action and Adventure, Crime, Drama, Mystery and Thriller",201,A,India,https://www.justwatch.com/in/movie/animal-2022
Salaar  (2023),2023,movie,Netflix,6.5,61k,"Action and Adventure, Crime, Drama, Mystery and Thriller",175,A,India,https://www.justwatch.com/in/movie/salaar
Dunki  (2023),2023,movie,Netflix,6.7,70k,"Comedy, Drama",160,,India,https://www.justwatch.com/in/movie/dunki
12th Fail  (2023),2023,movie,Hotstar,9.0,104k,"Drama, History",147,,India,https://www.justwatch.com/in/movie/12th-fail
Poor Things  (2023),2023,movie,,8.1,166k,"Comedy, Drama, Romance, Science-Fiction",141,A,"United States, Ireland, United Kingdom",https://www.justwatch.com/in/movie/poor-things
The Kerala Story  (2023),2023,movie,Zee5,7.0,69k,Drama,138,A,India,https://www.justwatch.com/in/movie/the-kerala-story
Anyone But You  (2023),2023,movie,,6.2,49k,"Comedy, Romance",103,,"United States, Australia",https://www.justwatch.com/in/movie/anyone-but-you
Sam Bahadur  (2023),2023,movie,Zee5,7.8,14k,"Drama, War and Military",150,UA,India,https://www.justwatch.com/in/movie/sam-bahadur
Anatomy of a Fall  (2023),2023,movie,,7.8,87k,"Mystery and Thriller, Crime, Drama",152,,France,https://www.justwatch.com/in/movie/anatomie-dune-chute
Aquaman and the Lost Kingdom  (2023),2023,movie,,5.6,70k,"Action and Adventure, Fantasy, Science-Fiction",124,,United States,https://www.justwatch.com/in/movie/aquaman-and-the-lost-kingdom
Jawan  (2023),2023,movie,Netflix,7.0,93k,"Action and Adventure, Mystery and Thriller, Drama",169,UA,India,https://www.justwatch.com/in/movie/jawan
American Fiction  (2023),2023,movie,Amazon Prime Video,7.6,50k,"Comedy, Drama",117,,United States,https://www.justwatch.com/in/movie/untitled-cord-jefferson-film
The Zone of Interest  (2023),2023,movie,,7.5,53k,"Drama, History, War and Military",105,UA,"United Kingdom, United States, Poland",https://www.justwatch.com/in/movie/the-zone-of-interest
Sound of Freedom  (2023),2023,movie,Amazon Prime Video,7.7,110k,"Action and Adventure, Drama, History, Mystery and Thriller, Crime",131,,United States,https://www.justwatch.com/in/movie/sound-of-freedom
The Holdovers  (2023),2023,movie,,8.0,119k,"Comedy, Drama",133,,United States,https://www.justwatch.com/in/movie/the-holdovers
The Marvels  (2023),2023,movie,,,,"Science-Fiction, Action and Adventure",105,,United States,https://www.justwatch.com/in/movie/the-marvels
Killers of the Flower Moon  (2023),2023,movie,Apple TV Plus,7.6,221k,"Crime, History, Drama, Romance, Western",206,A,United States,https://www.justwatch.com/in/movie/killers-of-the-flower-moon
Past Lives  (2023),2023,movie,"Lionsgate Play, Lionsgate Play Apple TV Channel, Lionsgate Play Amazon Channel",7.9,102k,"Drama, Romance",106,UA,"South Korea, United States",https://www.justwatch.com/in/movie/past-lives
Barbie  (2023),2023,movie,Jio Cinema,6.9,512k,"Comedy, Fantasy",114,UA,"United Kingdom, United States",https://www.justwatch.com/in/movie/barbie-2023
Junior  (2023),2023,movie,Amazon Prime Video,,,Action and Adventure,122,,India,https://www.justwatch.com/in/movie/junior-2023
Migration  (2023),2023,movie,,6.7,19k,"Comedy, Animation, Kids and Family",83,,"France, United States, Canada",https://www.justwatch.com/in/movie/migration
Neru  (2023),2023,movie,Hotstar,7.6,5k,"Drama, Mystery and Thriller",150,UA,India,https://www.justwatch.com/in/movie/neru
Godzilla Minus One  (2023),2023,movie,,8.3,45k,"Action and Adventure, Science-Fiction, Horror, Drama",125,,Japan,https://www.justwatch.com/in/movie/godzilla-minus-one
BlackBerry  (2023),2023,movie,Amazon Prime Video,7.4,38k,"Comedy, Drama, History",120,,Canada,https://www.justwatch.com/in/movie/blackberry
Naadu  (2023),2023,movie,"Amazon Prime Video, aha",,,Drama,128,,India,https://www.justwatch.com/in/movie/naadu
Hi Nanna  (2023),2023,movie,Netflix,8.2,14k,"Kids and Family, Romance, Drama",155,U,India,https://www.justwatch.com/in/movie/nani30
Route No 17  (2023),2023,movie,Amazon Prime Video,,,"Drama, Mystery and Thriller",112,,India,https://www.justwatch.com/in/movie/route-no-17
Napoleon  (2023),2023,movie,Apple TV Plus,6.4,124k,"Action and Adventure, Drama, History, War and Military",158,A,"United States, United Kingdom",https://www.justwatch.com/in/movie/napoleon-2023
Saba Nayagan  (2023),2023,movie,,6.8,1k,"Romance, Comedy",155,,India,https://www.justwatch.com/in/movie/saba-nayagan
Sapta Sagaradaache Ello: Side B  (2023),2023,movie,Amazon Prime Video,8.1,2k,"Action and Adventure, Drama, Romance",148,UA,India,https://www.justwatch.com/in/movie/sapta-sagaradaache-ello-side-b
Mission: Impossible - Dead Reckoning Part One  (2023),2023,movie,Amazon Prime Video,7.7,238k,"Mystery and Thriller, Action and Adventure",164,,United States,https://www.justwatch.com/in/movie/mission-impossible-7
Leo  (2023),2023,movie,Netflix,7.2,57k,"Action and Adventure, Crime, Mystery and Thriller, Drama",163,UA,India,https://www.justwatch.com/in/movie/leo-2023
Tiger Nageswara Rao  (2023),2023,movie,Amazon Prime Video,6.1,3k,"Action and Adventure, Crime, Drama, Mystery and Thriller, History",172,UA,India,https://www.justwatch.com/in/movie/tiger-nageswara-rao
Fast X  (2023),2023,movie,Jio Cinema,5.8,116k,"Mystery and Thriller, Action and Adventure, Crime",141,UA,United States,https://www.justwatch.com/in/movie/fast-x
Zara Hatke Zara Bachke  (2023),2023,movie,,6.7,14k,"Drama, Romance, Comedy, Kids and Family",140,UA,India,https://www.justwatch.com/in/movie/zara-hatke-zara-bach-ke
Parking  (2023),2023,movie,,7.9,9k,"Mystery and Thriller, Drama",127,UA,India,https://www.justwatch.com/in/movie/parking-2023
Tiger 3  (2023),2023,movie,Amazon Prime Video,5.8,52k,"Action and Adventure, Mystery and Thriller",155,,India,https://www.justwatch.com/in/movie/tiger-3
Wonka  (2023),2023,movie,,7.1,113k,"Kids and Family, Fantasy, Comedy",117,U,"United Kingdom, United States",https://www.justwatch.com/in/movie/wonka
Aatmapamphlet  (2023),2023,movie,Amazon Prime Video,,,"Comedy, Drama, Romance",90,UA,India,https://www.justwatch.com/in/movie/aatmapamphlet
Society of the Snow  (2023),2023,movie,Netflix,7.8,117k,"Drama, History, Mystery and Thriller",144,,"United States, Spain",https://www.justwatch.com/in/movie/society-of-the-snow
Gadar 2  (2023),2023,movie,Zee5,5.2,22k,"Drama, Action and Adventure, Mystery and Thriller",168,UA,India,https://www.justwatch.com/in/movie/gadar-2
Blue Beetle  (2023),2023,movie,Jio Cinema,6.0,91k,"Action and Adventure, Science-Fiction, Mystery and Thriller",128,,United States,https://www.justwatch.com/in/movie/blue-beetle
The Flash  (2023),2023,movie,Jio Cinema,6.7,204k,"Action and Adventure, Science-Fiction, Fantasy",144,A,United States,https://www.justwatch.com/in/movie/the-flash
Dada  (2023),2023,movie,Amazon Prime Video,8.1,5k,"Comedy, Romance, Drama, Kids and Family",135,U,India,https://www.justwatch.com/in/movie/dada-2023
Rocky Aur Rani Kii Prem Kahaani  (2023),2023,movie,Amazon Prime Video,6.5,41k,"Comedy, Drama, Kids and Family, Romance",168,,India,https://www.justwatch.com/in/movie/rocky-aur-rani-ki-prem-kahani
Saltburn  (2023),2023,movie,,7.0,189k,"Mystery and Thriller, Drama, Comedy",131,,"United Kingdom, United States",https://www.justwatch.com/in/movie/saltburn
Talk to Me  (2023),2023,movie,Amazon Prime Video,7.1,135k,"Mystery and Thriller, Horror",95,,"Australia, United Kingdom",https://www.justwatch.com/in/movie/talk-to-me-2022
OMG 2  (2023),2023,movie,Netflix,7.6,39k,"Comedy, Drama",155,A,India,https://www.justwatch.com/in/movie/omg-2
Perfect Days  (2023),2023,movie,,7.9,22k,Drama,123,,"Germany, Japan",https://www.justwatch.com/in/movie/perfect-days
Kaathal – The Core  (2023),2023,movie,Amazon Prime Video,7.5,3k,"Drama, Crime",112,UA,India,https://www.justwatch.com/in/movie/kaathal-the-core
Enaku Endey Kidaiyaathu  (2023),2023,movie,"Amazon Prime Video, aha",,,Mystery and Thriller,104,,India,https://www.justwatch.com/in/movie/enaku-endey-kidaiyaathu
Susuk  (2023),2023,movie,Netflix,,,Horror,103,,Indonesia,https://www.justwatch.com/in/movie/susuk-kutukan-kecantikan
Raktabeej  (2023),2023,movie,Hoichoi,7.9,1k,"Action and Adventure, Drama, Mystery and Thriller, Crime",139,U,India,https://www.justwatch.com/in/movie/raktabeej
Indigo  (2023),2023,movie,Netflix,,,Horror,118,,Indonesia,https://www.justwatch.com/in/movie/indigo-2023
The Boy and the Heron  (2023),2023,movie,,7.6,46k,"Fantasy, Drama, Kids and Family, Animation",124,,Japan,https://www.justwatch.com/in/movie/kimitachi-wa-do-ikiru-ka
The Family Plan  (2023),2023,movie,Apple TV Plus,6.3,38k,"Action and Adventure, Comedy",119,A,United States,https://www.justwatch.com/in/movie/the-family-plan
Yaariyan 2  (2023),2023,movie,,5.6,11k,"Romance, Drama, Kids and Family, Comedy",148,UA,India,https://www.justwatch.com/in/movie/yaariyan-2
Last Summer  (2023),2023,movie,,6.3,1k,"Mystery and Thriller, Drama",104,,"France, Norway",https://www.justwatch.com/in/movie/last-summer-2023
Spider-Man: Across the Spider-Verse  (2023),2023,movie,Netflix,8.6,355k,"Action and Adventure, Science-Fiction, Animation, Comedy, Kids and Family, Fantasy",117,UA,United States,https://www.justwatch.com/in/movie/spider-man-into-the-spider-verse-2
Ganapath  (2023),2023,movie,,3.3,9k,"Action and Adventure, Drama, Science-Fiction, Mystery and Thriller",133,UA,India,https://www.justwatch.com/in/movie/ganapath
The Creator  (2023),2023,movie,,6.8,150k,"Action and Adventure, Science-Fiction, Drama, Mystery and Thriller",134,,"Canada, United States",https://www.justwatch.com/in/movie/the-creator
Jailer  (2023),2023,movie,"Amazon Prime Video, Sun Nxt",7.1,33k,"Crime, Mystery and Thriller, Comedy, Action and Adventure",165,UA,India,https://www.justwatch.com/in/movie/jailer
Pindam  (2023),2023,movie,"Amazon Prime Video, aha",6.9,8k,"Horror, Mystery and Thriller",158,UA,India,https://www.justwatch.com/in/movie/pindam
Joram  (2023),2023,movie,,6.7,1k,"Action and Adventure, Crime, Drama, Mystery and Thriller",117,UA,India,https://www.justwatch.com/in/movie/joram
The Iron Claw  (2023),2023,movie,,7.7,43k,"Drama, Sport",132,,"United States, United Kingdom",https://www.justwatch.com/in/movie/the-iron-claw
Mangalavaaram  (2023),2023,movie,,6.7,2k,"Horror, Mystery and Thriller, Action and Adventure",149,,India,https://www.justwatch.com/in/movie/mangalavaram
Jokes & Cigarettes  (2023),2023,movie,,7.2,1k,Drama,117,,Spain,https://www.justwatch.com/in/movie/saben-aquell
Pathaan  (2023),2023,movie,Amazon Prime Video,5.8,155k,"Mystery and Thriller, Drama, Action and Adventure",146,,"United States, India",https://www.justwatch.com/in/movie/pathaan
The Nun II  (2023),2023,movie,Jio Cinema,5.6,56k,"Horror, Mystery and Thriller",110,A,United States,https://www.justwatch.com/in/movie/the-nun-ii
John Wick: Chapter 4  (2023),2023,movie,"Lionsgate Play, Lionsgate Play Apple TV Channel, Lionsgate Play Amazon Channel",7.7,327k,"Crime, Action and Adventure, Mystery and Thriller",170,,"Germany, United States",https://www.justwatch.com/in/movie/john-wick-chapter-4
Saw X  (2023),2023,movie,"Lionsgate Play, Lionsgate Play Apple TV Channel, Lionsgate Play Amazon Channel",6.6,70k,"Mystery and Thriller, Horror",118,,"Canada, United States, Mexico",https://www.justwatch.com/in/movie/saw-x
Bubblegum  (2023),2023,movie,aha,6.5,2k,"Drama, Romance, Action and Adventure",146,,India,https://www.justwatch.com/in/movie/bubblegum
Fukrey 3  (2023),2023,movie,Amazon Prime Video,5.6,24k,"Comedy, Drama, Crime, Mystery and Thriller",147,UA,India,https://www.justwatch.com/in/movie/fukrey-3
Chithha  (2023),2023,movie,Hotstar,8.2,6k,"Drama, Mystery and Thriller",140,,India,https://www.justwatch.com/in/movie/chittha
Ghosted  (2023),2023,movie,Apple TV Plus,5.8,61k,"Action and Adventure, Comedy, Romance",117,,United States,https://www.justwatch.com/in/movie/ghosted
No Hard Feelings  (2023),2023,movie,Netflix,6.4,152k,"Comedy, Romance",103,A,United States,https://www.justwatch.com/in/movie/no-hard-feelings-2023
Sisu  (2023),2023,movie,,6.9,72k,"Action and Adventure, War and Military",91,A,"Finland, United Kingdom, United States",https://www.justwatch.com/in/movie/sisu-2023
